Coverage,Risk
0.02564102564102564,0.0
0.05128205128205128,0.0
0.07692307692307693,0.0
0.10256410256410256,0.0
0.1282051282051282,0.0
0.15384615384615385,0.0
0.1794871794871795,0.0
0.20512820512820512,0.0
0.23076923076923078,0.0
0.2564102564102564,0.09999999999999998
0.28205128205128205,0.09090909090909094
0.3076923076923077,0.08333333333333337
0.3333333333333333,0.07692307692307687
0.358974358974359,0.0714285714285714
0.38461538461538464,0.06666666666666665
0.41025641025641024,0.0625
0.4358974358974359,0.11764705882352944
0.46153846153846156,0.11111111111111116
0.48717948717948717,0.1578947368421053
0.5128205128205128,0.15000000000000002
0.5384615384615384,0.1428571428571429
0.5641025641025641,0.13636363636363635
0.5897435897435898,0.17391304347826086
0.6153846153846154,0.16666666666666663
0.6410256410256411,0.16000000000000003
0.6666666666666666,0.1923076923076923
0.6923076923076923,0.2222222222222222
0.717948717948718,0.2142857142857143
0.7435897435897436,0.24137931034482762
0.7692307692307693,0.23333333333333328
0.7948717948717948,0.25806451612903225
0.8205128205128205,0.28125
0.8461538461538461,0.303030303030303
0.8717948717948718,0.2941176470588235
0.8974358974358975,0.3142857142857143
0.9230769230769231,0.3055555555555556
0.9487179487179487,0.29729729729729726
0.9743589743589743,0.2894736842105263
1.0,0.3076923076923077
